Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"1 Analisis de requisitos",2025-04-10,2025-04-20,10 days,0,"","",,"<p><br></p>"
2,2,"1.1 Recoleccion de requisitos",2025-04-10,2025-04-14,5 days,0,"","",,"<p><br></p>"
3,3,"1.1.1 Entrevistas con los stakeholders",2025-04-10,2025-04-11,2 days,0,"","",,"<p><br></p>"
3,4,"1.1.2 Encuestas o formularios",2025-04-11,2025-04-11,1 day,0,"","",,"<p><br></p>"
3,5,"1.1.3 Revision de documentos",2025-04-12,2025-04-13,2 days,0,"","",,"<p><br></p>"
4,6,"1.1.3.1 Revision de hojas de calculos Excel",2025-04-12,2025-04-12,1 day,0,"","",,"<p><br></p>"
4,7,"1.1.3.2 Revision de apuntes manuales",2025-04-13,2025-04-13,1 day,0,"","",,"<p><br></p>"
3,8,"1.1.4 Sesiones de brainstorming con el equipo y stakeholders",2025-04-14,2025-04-14,1 day,0,"","",,"<p><br></p>"
3,9,"1.1.5 Estudio de mercado",2025-04-14,2025-04-14,1 day,0,"","",,"<p><br></p>"
2,10,"1.2 Analisis de requisitos funcionales",2025-04-15,2025-04-17,3 days,0,"","",,"<p><br></p>"
3,11,"1.2.1 Definir casos de uso",2025-04-15,2025-04-15,1 day,0,"","",,"<p><br></p>"
3,12,"1.2.2 Historias de usuario",2025-04-15,2025-04-15,1 day,0,"","",,"<p><br></p>"
3,13,"1.2.3 Diagramas de flujo",2025-04-16,2025-04-16,1 day,0,"","",,"<p><br></p>"
3,14,"1.2.4 Revision de requisitos con stakeholders",2025-04-16,2025-04-16,1 day,0,"","",,"<p><br></p>"
3,15,"1.2.5 Identificacion de reglas de negocio",2025-04-17,2025-04-17,1 day,0,"","",,"<p><br></p>"
3,16,"1.2.6 Desarrollo de plan de pruebas funcionales",2025-04-17,2025-04-17,1 day,0,"","",,"<p><br></p>"
2,17,"1.3 Analisis de requisitos no funcionales",2025-04-18,2025-04-20,3 days,0,"","",,"<p><br></p>"
3,18,"1.3.1 Requisitos de rendimiento",2025-04-18,2025-04-18,1 day,0,"","",,"<p><br></p>"
3,19,"1.3.2 Requisitos de seguridad",2025-04-19,2025-04-19,1 day,0,"","",,"<p><br></p>"
3,20,"1.3.3 Requisitos de disponibilidad",2025-04-20,2025-04-20,1 day,0,"","",,"<p><br></p>"

1,21,"2 Diseño",2025-04-21,2025-06-01,1 day,1,"","",,"<p><br></p>"
2,22,"2.1 Arquitectura y componentes",2025-04-21,2025-05-04,1 day,1,"","",,"<p><br></p>"
3,23,"2.1.1 Diseño de arquitectura",2025-04-21,2025-05-04,1 day,1,"","",,"<p><br></p>"
4,27,"2.1.1.1 Definicion del estilo arquitectonico",2025-04-21,2025-04-21,1 day,1,"","",,"<p><br></p>"
4,28,"2.1.1.2 Modelado de la arquitectura",2025-04-22,2025-04-22,1 day,1,"","",,"<p><br></p>"
5,29,"2.1.1.2.1 Creacion de diagrama de componentes",2025-04-22,2025-04-22,1 day,1,"","",,"<p><br></p>"
